,Unnamed: 0,Name,Games Played,MIN,PTS,3P%,FT%,OREB,DREB,AST,STL,BLK,Age,Birth_Place,Birthdate,Collage,Experience,Height,Pos,Team,Weight,BMI,url,id
0,0,AJ Price,26,324,133,26.3,66.7,6,26,46,7,0,29.0,us,"October 7, 1986",University of Connecticut,5,185.0,PG,PHO,81.45,23.79839299,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/aj-price/aj-price.png,0
1,1,Aaron Brooks,82,1885,954,38.7,83.3,32,134,261,54,15,30.0,us,"January 14, 1985",University of Oregon,6,180.0,PG,CHI,72.45,22.36111111,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/aaron-brooks/aaron-brooks.png,1
2,2,Aaron Gordon,47,797,243,27.1,72.1,46,123,33,21,22,20.0,us,"September 16, 1995",University of Arizona,R,202.5,PF,ORL,99.0,24.14266118,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/aaron-gordon/aaron-gordon.png,2
3,3,Adreian Payne,32,740,213,11.1,65.2,48,114,30,19,9,24.0,us,"February 19, 1991",Michigan State University,R,205.0,PF,ATL,106.65,25.37775134,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/adreian-payne/adreian-payne.png,3
4,4,Al Horford,76,2318,1156,30.6,75.9,131,413,244,68,98,29.0,do,"June 3, 1986",University of Florida,7,205.0,C,ATL,110.25,26.2343843,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/al-horford/al-horford.png,4
5,5,Al Jefferson,65,1992,1082,40.0,65.5,99,449,113,47,84,30.0,us,"January 4, 1985",,10,205.0,C,CHA,130.05,30.94586556,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/al-jefferson/al-jefferson.png,5
6,6,Alan Anderson,74,1744,545,34.8,81.2,31,173,83,56,5,33.0,us,"October 16, 1982",Michigan State University,5,195.0,SG,NJN,99.0,26.03550296,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alan-anderson/alan-anderson.png,6
7,7,Alec Burks,27,899,374,38.2,82.2,19,95,82,17,5,24.0,us,"July 20, 1991",University of Colorado,3,195.0,SG,UTA,96.3,25.32544379,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alec-burks/alec-burks.png,7
8,8,Alex Kirk,5,14,4,0.0,100.0,1,0,1,0,0,24.0,us,"November 14, 1991",University of New Mexico,R,210.0,C,CLE,110.25,25.0,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alex-kirk/alex-kirk.png,8
9,9,Alex Len,69,1518,432,33.3,70.2,142,312,32,34,105,22.0,ua,"June 16, 1993",University of Maryland,1,212.5,C,PHO,117.0,25.910034600000003,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alex-len/alex-len.png,9
10,10,Alexey Shved,42,767,434,33.8,80.7,23,76,106,30,6,27.0,ru,"December 16, 1988",,2,195.0,SG,NYK,85.5,22.485207100000004,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alexey-shved/alexey-shved.png,10
11,11,Alexis Ajinca,68,957,443,0.0,81.8,104,211,47,21,51,27.0,fr,"May 6, 1988",,4,215.0,C,NOH,111.6,24.14277988,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alexis-ajinca/alexis-ajinca.png,11
12,12,Al-Farouq Aminu,74,1366,412,27.4,71.2,114,228,59,70,62,25.0,us,"September 21, 1990",Wake Forest University,4,202.5,SF,DAL,99.0,24.14266118,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/al-farouq-aminu/al-farouq-aminu.png,12
13,13,Allen Crabbe,51,683,168,35.3,75.0,7,66,39,19,15,23.0,us,"April 9, 1992",University of California,1,195.0,SG,POR,94.5,24.85207101,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/allen-crabbe/allen-crabbe.png,13
14,14,Alonzo Gee,54,661,241,37.1,70.1,37,57,25,35,7,28.0,us,"May 29, 1987",University of Alabama,5,195.0,SF,POR,101.25,26.62721893,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/alonzo-gee/alonzo-gee.png,14
15,15,Amar'e Stoudemire,59,1244,680,0.0,72.0,110,219,45,29,38,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/amar'e-stoudemire/amar'e-stoudemire.png,15
16,16,Amir Johnson,75,1979,694,41.3,61.2,159,297,117,44,59,28.0,us,"May 1, 1987",,9,202.5,PF,TOR,108.0,26.33744856,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/amir-johnson/amir-johnson.png,16
17,17,Anderson Varejao,26,636,255,0.0,73.3,57,113,35,19,16,,,,,,,,,,,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/anderson-varejao/anderson-varejao.png,17
18,18,Andre Dawkins,4,22,3,16.7,0.0,0,2,1,0,0,24.0,us,"September 19, 1991",Duke University,R,192.5,SG,MIA,96.75,26.10895598,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andre-dawkins/andre-dawkins.png,18
19,19,Andre Drummond,82,2502,1130,0.0,38.9,437,667,55,73,153,22.0,us,"August 10, 1993",University of Connecticut,2,207.5,C,DET,125.55,29.15952969,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andre-drummond/andre-drummond.png,19
20,20,Andre Iguodala,77,2069,604,34.9,59.6,44,213,228,89,25,31.0,us,"January 28, 1984",University of Arizona,10,195.0,SF,GSW,96.75,25.44378698,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andre-iguodala/andre-iguodala.png,20
21,21,Andre Miller,81,1253,355,20.6,75.3,37,116,284,32,6,39.0,us,"March 19, 1976",University of Utah,15,187.5,PG,WAS,90.0,25.6,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andre-miller/andre-miller.png,21
22,22,Andre Roberson,67,1286,228,24.7,47.9,60,195,70,53,29,24.0,us,"December 4, 1991",University of Colorado,1,197.5,SG,OKC,94.5,24.22688672,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andre-roberson/andre-roberson.png,22
23,23,Andrea Bargnani,29,785,430,36.6,81.3,32,95,46,2,27,30.0,it,"October 26, 1985",,8,210.0,C,NYK,110.25,25.0,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andrea-bargnani/andrea-bargnani.png,23
24,24,Andrei Kirilenko,7,36,3,0.0,75.0,2,6,1,1,0,34.0,ru,"February 18, 1981",,12,202.5,SF,NJN,99.0,24.14266118,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andrei-kirilenko/andrei-kirilenko.png,24
25,25,Andrew Bogut,67,1583,422,0.0,52.4,141,402,180,39,113,31.0,au,"November 28, 1984",University of Utah,9,210.0,C,GSW,117.0,26.53061224,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andrew-bogut/andrew-bogut.png,25
26,26,Andrew Nicholson,40,492,194,31.7,60.0,17,65,22,6,12,26.0,ca,"December 8, 1989",St. Bonaventure University,2,202.5,PF,ORL,112.5,27.43484225,https://raw.githubusercontent.com/nonameable/extracting_datasets/master/nba_players_and_photos/players/andrew-nicholson/andrew-nicholson.png,26
